CPU0
P81,2	18918	19011
P83,2	19012	19079
P84,2	19080	19118
P85,2	19119	19184
P86,2	19185	19225
P88,2	19226	19334
P90,2	19335	19378
P91,2	19379	19455
P92,2	19456	19512
P95,2	19513	19562
P96,2	19563	19652
P97,2	19653	19763
P98,2	19764	19805
P99,2	19806	19906
P100,2	19907	20015
P101,2	20016	20063
P102,2	20064	20133
P103,2	20134	20164
P106,2	20165	20222
P107,2	20223	20329
P108,2	20330	20417
P109,2	20418	20520
P111,2	20521	20591
P112,2	20592	20679
P113,2	20680	20753
P115,2	20754	20822
P116,2	20823	20854
P118,2	20855	20969
P119,2	20970	21016
P120,2	21017	21096
P122,2	21097	21190
P123,2	21191	21291
P12,3	21292	21327
P124,2	21328	21406
P125,2	21407	21464
P126,2	21465	21578
P127,2	21579	21694
P129,2	21695	21748
P130,2	21749	21853
P131,2	21854	21888
P132,2	21889	21940
P133,2	21941	22059
P134,2	22060	22119
P135,2	22120	22178
P137,2	22179	22227
P138,2	22228	22286
P139,2	22287	22329
P141,2	22330	22382
P143,2	22383	22456
P144,2	22457	22508
P146,2	22509	22620
P149,2	22621	22684
P151,2	22685	22784
P152,2	22785	22856
P153,2	22857	22951
P154,2	22952	22998
P156,2	22999	23094
P158,2	23095	23126
P159,2	23127	23157
P161,2	23158	23188
P162,2	23189	23306
P15,3	23307	23364
P169,2	23365	23414
P171,2	23415	23457
P173,2	23458	23554
P176,2	23555	23663
P177,2	23664	23700
P181,2	23701	23812
P182,2	23813	23880
P183,2	23881	23945
P184,2	23946	24012
P185,2	24013	24095
P188,2	24096	24189
P189,2	24190	24246
P190,2	24247	24331
P192,2	24332	24402
P17,3	24403	24472
P194,2	24473	24507
P195,2	24508	24554
P200,2	24555	24652
P19,3	24653	24763
P24,3	24764	24809
P25,3	24810	24859
P28,3	24860	24921
P29,3	24922	24952
P30,3	24953	25004
P31,3	25005	25059
P33,3	25060	25177
P34,3	25178	25259
P38,3	25260	25379
P40,3	25380	25470
P41,3	25471	25534
P43,3	25535	25597
P46,3	25598	25651
P49,3	25652	25718
P50,3	25719	25748
P53,3	25749	25832
P58,3	25833	25867
P61,3	25868	25937
P64,3	25938	25994
P65,3	25995	26060
P66,3	26061	26146
P67,3	26147	26228
P75,3	26229	26265
P78,3	26266	26326
P80,3	26327	26370
P81,3	26371	26423
P83,3	26424	26520
P86,3	26521	26551
P91,3	26552	26592
P95,3	26593	26655
P96,3	26656	26752
P97,3	26753	26821
P99,3	26822	26860
P100,3	26861	26939
P102,3	26940	27047
P103,3	27048	27103
P107,3	27104	27219
P111,3	27220	27311
P112,3	27312	27350
P116,3	27351	27431
P120,3	27432	27477
P122,3	27478	27576
P123,3	27577	27657
P127,3	27658	27761
P131,3	27762	27826
P132,3	27827	27863
P133,3	27864	27934
P137,3	27935	27979
P139,3	27980	28064
P141,3	28065	28106
P143,3	28107	28194
P144,3	28195	28248
P146,3	28249	28314
P149,3	28315	28428
P158,3	28429	28458
P159,3	28459	28526
P161,3	28527	28625
P162,3	28626	28742
P169,3	28743	28776
P173,3	28777	28815
P177,3	28816	28866
P181,3	28867	28970
P184,3	28971	29013
P189,3	29014	29098
P194,3	29099	29136
P195,3	29137	29244
P200,3	29245	29353
